as,3425244,92299,396839,3914382,3892887
bn,150741587,2882716,106563,153730866,153347937
gu,60930776,453208,230813,61614797,61484821
kn,84348395,1208083,91307,85647785,85487378
gom,2921434,196624,3040,3121098,2922049
ks,2634,3509,276,6419,3989
mai,4869731,81714,4136,4955581,4870078
ml,90560771,1617348,577995,92756114,92480349
mr,62699249,1005059,431926,64136234,63818416
or,7149696,284983,219595,7654274,7610768
pa,38501782,599787,36590,39138159,39072103
ta,82654993,2540493,93916,85289402,84829481
te,64809450,3262679,196418,68268547,66517037
ne,43209373,374276,20870,43604519,43563625
sa,13271131,334304,1303,13606738,13562265
hi,285626066,2126410,197270,287949746,287676057
sd,46,223023,0,223069,208195
bd,144579,0,1209,145788,144582
en,235680224,0,0,235680224,235680223
mni,0,30179,0,30179,20961
dg,8482,0,2552,11034,8482
kha,1926495,0,0,1926495,1926495
sat,14530,88736,5530,108796,87936
