as,3425244,92299,396839,3914382,3892887
bd,144579,0,1209,145788,144582
bn,20000000,2882716,106563,22989279,22673802
dg,8482,0,2552,11034,8482
en,20000000,0,0,20000000,20000000
gom,2921434,196624,3040,3121098,2922049
gu,20000000,453208,230813,20684021,20569246
hi,20000000,2126410,197270,22323680,22117164
kha,1926495,0,0,1926495,1926495
kn,20000000,1208083,91307,21299390,21164447
ks,2634,3509,276,6419,3989
mai,4869731,81714,4136,4955581,4870078
ml,20000000,1617348,577995,22195343,22032807
mni,0,30179,0,30179,20961
mr,20000000,1005059,431926,21436985,21154808
ne,20000000,374276,20870,20395146,20359486
or,7149696,284983,219595,7654274,7610768
pa,20000000,599787,36590,20636377,20574696
sa,13271131,334304,1303,13606738,13562265
sat,14530,88736,5530,108796,87936
sd,46,223023,0,223069,208195
ta,20000000,2540493,93916,22634409,22232243
te,20000000,3262679,196418,23459097,21735305
ur,20000000,1088047,10356,21098403,1793309
